date,"Los Angeles, CA","New York, NY","Toronto, ON","Boston, MA","Montreal, QC","Chicago, IL","Chapel Hill, NC","Philadelphia, PA","Detroit, MI","Pittsburgh, PA","Edmonton, AB","New Haven, CT","Notre Dame, IN","Miami, FL","Minneapolis, MN","Tuscaloosa, AL","Mansfield, CT","Princeton, NJ","Stanford, CA","Hamilton, ON","Green Bay, WI","Austin, TX","St Louis, MO","Ottawa, ON","Washington, DC","Ann Arbor, MI","Centre Country, PA","Columbus, OH","Baton Rouge, LA","Lincoln, NE","San Francisco, CA","Columbia, SC","Knoxville, TN","Baltimore, MD","Winnipeg, MB","Norman, OK","Oakland, CA","Cleveland, OH","Cambridge, MA","Lexington, KY","Calgary, AB","Cincinnati, OH","Gainesville, FL","Dallas, TX","Berkeley, CA","Denver, CO","Statesboro, GA","Houston, TX","Fargo, ND","Vancouver, BC","Tucson, AZ","Durham, NC","Tallahassee, FL","Bloomington, IN","East Lansing, MI","Seattle, WA","Tempe, AZ","San Antonio, TX","Kansas City, MO","Atlanta, GA","Youngstown, OH","Fullerton, CA","Portland, OR","Regina, SK","Boone, NC","West Point, NY","Ithaca, NY","Champaign County, IL","Lawrence, KS","Milwaukee, WI","College Park, MD","Raleigh, NC","Stillwater, OK","Syracuse, NY","College Station, TX","Villanova, PA","Honolulu, HI","Long Beach, CA","Kingston, ON","Newark, NJ","Fayetteville, AR","Auburn, AL","Waco, TX","Clemson, SC","Richmond, KY","Athens, GA","Worcester, MA","Harrisonburg, VA","Rouston, PA","Louisville, KY","Huntington, WV","Dillon, MT","Corvallis, OR","Salt Lake City, UT","Stockton, CA","San Jose, CA","Sarnia, ON","Tampa, FL","Canton, OH","Boise, ID","Provo, UT","Indianapolis, IN","Newark, DE","Cheney, WA","Greenville, SC","Fairfax, VA","Pocatello, ID","Iowa City, IA","Easton, PA","Monroe, LA","Amherst, MA","Oxford, MS","Bozeman, MT","Eugene, OR","Providence, RI","West Lafayette, IN","Richmond, VA","New Brunswick, NJ","Santa Clara, CA","Carbondale, IL","Fort Worth, TX","El Paso, TX","Las Vegas, NV","Charlottesville, VA","Winston-Salem, NC","Bowling Green, KY","Wichita, KS","Madison, WI","Laramie, WI","Conway, SC","Fresno, CA","Columbia, MO","Norfolk, VA","Malibu, CA","Lubbock, TX","Nashville, TN","Denver, ON","Rochester, NY","Phoenix, AZ","New Orleans, LA","Anaheim, CA"
1990,44,46,31,27,32,19,10,21,17,14,15,,13,7,15,9,,,5,14,12,9,10,12,7,11,4,8,2,2,6,3,3,7,10,7,7,8,,5,3,7,,2,,,3,,,2,3,,1,,4,1,,,2,2,,2,1,2,,,,,2,,1,2,,2,2,1,,1,,,1,1,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1991,45,47,32,27,32,20,11,21,17,15,15,,13,7,16,9,,,5,14,12,9,10,12,7,11,4,8,3,2,6,3,4,7,,7,7,8,,5,3,,,2,,1,4,,,2,3,1,1,,4,1,,,2,3,,2,1,2,,,,,2,,1,2,,2,2,1,,1,,,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,45,47,33,27,32,21,12,21,17,16,15,,13,8,,9,,,7,14,12,9,10,12,8,11,4,8,3,2,6,3,4,7,,7,7,8,,5,4,,,2,,1,4,,,2,3,2,1,,4,2,,,2,3,1,2,1,2,,,,,2,,1,2,,2,2,1,,1,,,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1993,45,47,34,27,33,22,14,21,17,16,16,,13,8,,10,,,7,14,12,9,10,12,8,11,4,8,4,2,6,3,4,7,,7,7,8,,5,4,,,3,,1,4,,,2,3,2,1,,4,2,,,2,3,1,2,1,2,,,,,2,,1,2,,2,2,1,,2,,,1,1,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1994,45,48,34,27,33,22,16,21,17,16,16,,13,8,,10,,,8,14,12,9,10,12,8,11,4,8,4,2,6,3,4,7,,8,7,8,,5,4,,,4,,1,4,1,,3,3,2,2,,4,2,,,2,3,2,2,1,2,,,,,2,,1,2,,2,2,1,,2,,,2,1,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,46,48,34,27,33,22,16,21,17,16,16,,14,8,,10,1,,8,14,12,9,10,12,8,11,4,8,4,4,7,3,4,8,,8,7,8,,5,4,,,4,,1,4,2,,3,3,2,2,,4,2,,,2,4,3,3,1,2,,,,,2,,1,2,,2,2,1,,2,,1,,1,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,46,49,35,27,33,23,17,21,17,16,16,,14,8,,10,1,,9,14,12,9,10,12,9,11,4,8,5,5,7,3,5,8,,8,7,8,,6,4,,,5,,2,4,2,,3,3,2,2,,4,2,,,2,,3,3,1,2,,,,,2,,1,2,,2,2,1,,2,,1,,1,,1,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,46,49,36,27,33,24,18,21,18,16,16,,14,9,,10,1,,10,14,13,9,10,12,10,11,4,8,6,5,7,3,6,8,,8,7,8,,6,4,,1,5,,2,4,2,,3,4,2,2,,4,2,,,2,,3,3,1,2,,,,,2,,1,2,,2,2,1,,2,,1,,1,,1,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,47,50,36,27,33,26,18,21,19,16,16,,14,9,,10,1,,10,14,13,9,10,12,10,12,4,8,6,6,7,3,7,8,,8,7,8,,7,5,,2,5,,3,4,2,,3,4,2,2,,4,2,,,2,,4,3,1,2,,,,,2,,1,2,,2,2,1,,3,,1,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,47,51,36,27,33,26,19,21,19,16,16,,14,10,,10,2,,10,15,13,9,10,12,11,,5,8,6,6,7,3,8,8,,8,7,8,,7,5,,2,6,,4,4,2,,3,4,2,2,,4,2,,1,2,,,3,1,2,,,,,2,,1,2,,2,2,1,,,,1,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2000,48,52,36,27,33,26,20,21,19,16,16,,14,10,,10,3,,10,,13,9,11,12,11,,5,8,7,7,7,3,8,8,,8,7,8,,7,5,,2,6,,4,5,2,,4,4,2,3,,5,2,,1,3,,,3,1,2,,,,,2,,1,2,,2,2,1,,,,2,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,49,52,36,27,33,26,20,21,19,16,16,,15,11,,10,3,,11,,13,9,11,12,11,,5,8,7,7,7,3,8,9,,9,7,8,,7,6,,2,6,,5,6,2,,4,4,3,3,,,2,,1,3,,,3,1,2,,,,,2,,1,2,,2,2,1,,,,2,,1,,1,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,
2002,52,52,36,28,34,26,20,21,20,16,16,,15,12,,10,4,,11,,13,10,11,12,11,,5,8,7,7,7,4,8,9,,,7,8,,7,6,,2,6,,5,,2,,4,4,3,3,,,2,,1,3,,,3,2,2,,,,,2,,2,2,,2,2,1,,,,2,,1,,1,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2003,52,52,36,28,34,26,21,21,20,16,17,,15,13,,10,5,,11,,13,10,11,12,11,,5,9,7,7,7,5,8,9,,,7,8,,7,6,,2,6,,5,,3,,4,4,3,3,,,2,,2,3,,,3,2,2,,,,,2,,2,2,,3,2,1,,,,3,,1,,1,,,,,,,,,,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
2004,53,52,37,30,34,26,21,21,21,16,17,,16,13,,10,7,,12,,13,10,11,12,12,,5,9,8,7,7,5,8,9,,,7,8,,7,6,,2,6,,5,,3,,4,4,3,3,,,2,,2,3,,,4,2,2,,,,,2,,2,2,,,2,1,,,,,,1,,1,,,,,,,,,,1,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2005,55,52,37,31,34,27,22,21,21,16,18,,16,13,,10,7,,12,,13,11,11,12,,,5,9,8,7,7,5,8,9,,,7,8,,7,6,,2,6,,5,,3,,4,4,3,3,,,3,,3,3,,,,3,2,,,,,2,,2,2,,,2,1,,,,,,1,1,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2006,55,52,37,31,34,27,23,21,21,17,18,,16,14,,10,7,,12,,13,12,12,12,,,5,9,8,8,7,5,8,9,,,7,8,,7,6,,3,6,,5,,4,,5,4,3,3,,,3,,3,3,,,,3,2,1,,,,2,,3,3,,,2,1,,,,,,1,1,1,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2007,56,52,37,32,34,27,23,21,21,17,18,,16,14,,10,7,,12,,13,12,12,12,,,6,9,8,8,7,6,9,9,,,7,8,,7,6,,5,6,,5,,5,,5,4,3,3,,,3,,4,3,,,,3,3,2,,,,2,,,,,,2,1,,,,,,1,1,1,,,,1,,,,,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2008,56,53,37,33,34,27,24,22,22,17,18,,16,14,,10,7,,12,,13,12,12,12,,,7,10,9,8,7,6,10,9,,,7,8,,7,7,,5,6,,5,,5,,5,4,3,3,,,3,,4,3,,,,3,3,3,,,,3,,,,,,2,1,,,,,,1,1,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2009,57,54,37,33,35,27,26,22,,19,18,,16,14,,10,8,,12,,13,12,12,12,,,8,10,10,8,7,6,,9,,,7,8,,7,7,,6,6,,5,,5,,5,4,3,3,,,3,,4,3,,,,3,3,,,,,,,,,,,2,1,,,,,,1,1,1,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2010,58,54,37,33,36,28,26,22,,19,18,,17,14,,11,9,,12,,13,12,12,12,,,9,10,,8,8,7,,9,,,7,8,,7,7,,6,6,,5,,5,,5,4,4,3,,,3,,4,3,,,,3,3,,,,,,,,,,,2,2,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
2011,60,54,37,34,,28,26,22,,19,18,,17,14,,11,10,,13,,14,12,13,12,,,9,10,,8,8,8,,9,,,7,8,,7,7,,6,7,,5,,5,,6,4,4,3,,,3,,4,3,,,,3,3,,,,,,,,,,,3,2,,,,,,2,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,62,55,38,34,,28,27,22,,19,18,,17,15,,12,10,,13,,,13,,12,,,9,10,,8,9,8,,9,,,7,8,,8,7,,6,,,5,,5,1,,5,4,3,,,3,,4,3,,,,3,3,,,,,,,,,,,,2,,,,,,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,64,,38,35,,29,27,22,,19,18,,17,16,,13,11,,13,,,,,12,,,10,10,,8,9,8,,10,,,7,8,,,7,,6,,,5,,5,2,,,4,3,,,3,,4,4,,,,3,4,,,,,,,,,,,,2,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,66,,38,35,,29,27,22,,19,18,,17,,,13,13,,13,,,,,12,,,11,10,,8,10,8,,,,,7,8,,,8,,6,,,5,,5,3,,,4,5,,,4,,5,4,,,,3,,,,,,,,,,,,,2,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2015,,,38,36,,30,27,22,,19,19,,17,,,13,14,,13,,,,,12,,,12,11,,9,,8,,,,,8,8,,,,,6,,,5,,5,4,,,5,,,,4,,,5,,,,4,,,,,,,,,,,,,2,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2016,,,38,36,,31,27,22,,20,,,17,,,14,15,,14,,,,,13,,,,,,9,,9,,,,,8,9,,,,,6,,,6,,5,5,,,,,,,5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2017,,,40,37,,31,28,22,,21,,,17,,,14,,,15,,,,,,,,,,,10,,10,,,,,9,,,,,,7,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,32,,23,,,,,18,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
