leagueLevel,league,first,trophySelector,colour,sport,championship,trophy,month,year,number,date,note,t1,t1loc,nth,t1coord,t2,t2loc,t2coord,t3,t3loc,t3coord,t4,t4loc,t4coord
NBA,NBA,FALSE,trophy-NBA,#ffff99,basketball,NBA Championship,NBA Finals Trophy,April,1957,324,4/1/1957,,Boston Celtics,"Boston, Massachusetts",10,"[-71.0588801, 42.3600825]",St Louis Hawks,"St Louis, Missouri","[-90.1994041999999, 38.6270025]",Minneapolis Lakers,"Minneapolis, Minnesota","[-93.2650108, 44.977753]",Syracuse Nationals,"Syracuse, New York","[-76.1474243999999, 43.0481221]"
NHL,NHL,FALSE,trophy-NHL,#bf5b17,ice_hockey,Stanley Cup,Stanley Cup,April,1957,325,4/1/1957,,Montreal Canadiens,"Montreal, Quebec",15,"[-73.567256, 45.5016889]",Boston Bruins,"Boston, Massachusetts","[-71.0588801, 42.3600825]",New York Rangers,"New York, New York","[-74.0059728, 40.7127753]",Detroit Red Wings,"Detroit, Michigan","[-83.0457538, 42.331427]"
NCAA,NCAA D1 - Men,FALSE,trophy-baseball-m,#386cb0,baseball-men,College World Series,,June,1957,326,6/1/1957,,University of California,"Berkeley, California",5,"[-122.272747, 37.8715926]",Penn State University,"Centre Country, Pennsylvania","[-77.8367282, 40.8765649]",Iowa State University,"Ames, Iowa","[-93.6319130999999, 42.0307812]",University of Notre Dame,"Notre Dame, Indiana","[-86.2379328, 41.7001908]"
MLB,MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,1957,327,10/1/1957,,Milwaukee Brewers,"Milwaukee, Wisconsin",1,"[-87.9064736, 43.0389025]",New York Yankees,"New York, New York","[-74.0059728, 40.7127753]",Chicago White Sox,"Chicago, Illinois","[-87.6297982, 41.8781136]",St Louis Cardinals,"St Louis, Missouri","[-90.1994041999999, 38.6270025]"
CFL,CFL,FALSE,trophy-CFL,#7fc97f,canadian_football,Grey Cup,Grey Cup,November,1957,328,11/1/1957,,Hamilton Tiger-Cats,"Hamilton, Ontario",9,"[-79.8711024, 43.2557206]",Winnipeg Blue Bombers,"Winnipeg, Manitoba","[-97.1383743999999, 49.895136]",Edmonton Eskimos,"Edmonton, Alberta","[-113.4909267, 53.544389]",Montreal Alouettes,"Montreal, Quebec","[-73.567256, 45.5016889]"
NFL,NFL,FALSE,trophy-NFL,#f0027f,american_football,NFL Champions,,December,1957,329,12/1/1957,,Detroit Lions,"Detroit, Michigan",13,"[-83.0457538, 42.331427]",Cleveland Browns,"Cleveland, Ohio","[-81.6943605, 41.49932]",,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1958,330,1/1/1958,"FWAA, UPI, AP",Auburn University,"Auburn, Alabama",1,"[-85.4807824999999, 32.6098566]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1958,331,1/1/1958,"FWAA, UPI, AP",Ohio State University,"Columbus, Ohio",3,"[-82.9987941999999, 39.9611755]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-basketball-m,#386cb0,basketball-men,NCAA Division I Men's Basketball Tournament,NCAA National Championship Trophy,March,1958,332,3/1/1958,,University of Kentucky,"Lexington, Kentucky",4,"[-84.5037164, 38.0405837]",University of Seattle,"Seattle, Washington","[-122.3320708, 47.6062095]",Temple University,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]",Kansas State University,"Manhattan, Kansas","[-96.6899444, 39.168205]"
NBA,NBA,FALSE,trophy-NBA,#ffff99,basketball,NBA Championship,NBA Finals Trophy,April,1958,333,4/1/1958,,St Louis Hawks,"St Louis, Missouri",7,"[-90.1994041999999, 38.6270025]",Boston Celtics,"Boston, Massachusetts","[-71.0588801, 42.3600825]",Detroit Pistons,"Detroit, Michigan","[-83.0457538, 42.331427]",Philadelphia Warriors,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]"
