city,stateAbb,state,cityState,teams,Latitude,Longitude,lngLat,rank_all,rank_pro,rank_NCAA,count,finals,final4,pro,NCAA,mlb,nba,nfl,nhl,mls,cfl,ncaa,ncaa-football-m,ncaa-basketball-m,ncaa-baseball-m,ncaa-basketball-w,ncaa-soccer-w,ncaa-volleyball-w
West Point,NY,New York,"West Point, New York","[""United States Military Academy (NCAA - 3)""]",41.3914827,-73.9559721,"[-73.9559721, 41.3914827]",65,53,36,3,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0
Ithaca,NY,New York,"Ithaca, New York","[""Cornell University (NCAA - 3)""]",42.4439614,-76.5018807,"[-76.5018807, 42.4439614]",65,53,36,3,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0
Champaign County,IL,Illinois,"Champaign County, Illinois","[""University of Illinois (NCAA - 3)""]",40.2138865,-88.2461183,"[-88.2461182999999, 40.2138865]",65,53,36,3,2,6,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0
Lawrence,KS,Kansas,"Lawrence, Kansas","[""University of Kansas (NCAA - 3)""]",38.9716689,-95.2352501,"[-95.2352501, 38.9716689]",65,53,36,3,6,6,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0
College Park,MD,Maryland,"College Park, Maryland","[""University of Maryland (NCAA - 3)""]",38.9896967,-76.93776,"[-76.93776, 38.9896967]",65,53,36,3,0,5,0,3,0,0,0,0,0,0,3,1,1,0,1,0,0
Stillwater,OK,Oklahoma,"Stillwater, Oklahoma","[""Oklahoma A&M (NCAA - 2)"", "" Oklahoma State University (NCAA - 1)""]",36.1156071,-97.0583681,"[-97.0583681, 36.1156071]",65,53,36,3,6,10,0,3,0,0,0,0,0,0,3,0,2,1,0,0,0
College Station,TX,Texas,"College Station, Texas","[""Texas A&M (NCAA - 3)""]",30.627977,-96.3344068,"[-96.3344068, 30.627977]",65,53,36,3,0,1,0,3,0,0,0,0,0,0,3,2,0,0,1,0,0
Villanova,PA,Pennsylvania,"Villanova, Pennsylvania","[""Villanova University (NCAA - 3)""]",40.0375832,-75.3491813,"[-75.3491813, 40.0375832]",65,53,36,3,0,2,0,3,0,0,0,0,0,0,3,1,2,0,0,0,0
Honolulu,HI,Hawaii,"Honolulu, Hawaii","[""University of Hawaii (NCAA - 3)""]",21.3069444,-157.8583333,"[-157.8583333, 21.3069444]",65,53,36,3,3,4,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
Long Beach,CA,California,"Long Beach, California","[""Long Beach State (NCAA - 3)""]",33.7700504,-118.1937395,"[-118.1937395, 33.7700504]",65,53,36,3,2,7,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3
Louisville,KY,Kentucky,"Louisville, Kentucky","[""University of Louisville (NCAA - 3)""]",38.2526647,-85.7584557,"[-85.7584557, 38.2526647]",65,53,36,3,2,7,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0
Raleigh,NC,North Carolina,"Raleigh, North Carolina","[""North Carolina State (NCAA - 2)"", "" Carolina Hurricanes (NHL - 1)""]",35.7795897,-78.6381787,"[-78.6381787, 35.7795897]",65,42,50,3,2,5,1,2,0,0,0,1,0,0,2,0,2,0,0,0,0
Syracuse,NY,New York,"Syracuse, New York","[""Syracuse University (NCAA - 2)"", "" Syracuse Nationals (NBA - 1)""]",43.0481221,-76.1474244,"[-76.1474243999999, 43.0481221]",65,42,50,3,5,10,1,2,0,1,0,0,0,0,2,1,1,0,0,0,0
Kingston,ON,Ontario,"Kingston, Ontario","[""Queen’s University (CFL - 3)""]",44.2311717,-76.4859544,"[-76.4859544, 44.2311717]",65,32,110,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Newark,NJ,New jersey,"Newark, New jersey","[""New Jersey Devils (NHL - 3)""]",40.735657,-74.1723667,"[-74.1723667, 40.735657]",65,32,110,3,4,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Anaheim,CA,California,"Anaheim, California","[""Anaheim Angels (MLB - 1)"", "" Anaheim Ducks (NHL - 1)""]",33.8339114,-117.985577,"[-117.985577, 33.8339114]",82,35,110,2,1,5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Fayetteville,AR,Arkansas,"Fayetteville, Arkansas","[""University of Arkansas (NCAA - 2)""]",36.082156,-94.1718542,"[-94.1718542, 36.082156]",82,53,50,2,2,8,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0
Auburn,AL,Alabama,"Auburn, Alabama","[""Auburn University (NCAA - 2)""]",32.6098566,-85.4807825,"[-85.4807824999999, 32.6098566]",82,53,50,2,3,1,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0
Waco,TX,Texas,"Waco, Texas","[""Baylor University (NCAA - 2)""]",31.549333,-97.1466695,"[-97.1466695, 31.549333]",82,53,50,2,1,4,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0
Clemson,SC,South Carolina,"Clemson, South Carolina","[""Clemson University (NCAA - 2)""]",34.6834382,-82.8373654,"[-82.8373654, 34.6834382]",82,53,50,2,1,3,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0
Richmond,KY,Kentucky,"Richmond, Kentucky","[""Eastern Kentucky University (NCAA - 2)""]",37.7478572,-84.2946539,"[-84.2946539, 37.7478572]",82,53,50,2,2,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0
Athens,GA,Georgia,"Athens, Georgia","[""University of Georgia (NCAA - 2)""]",33.9519347,-83.357567,"[-83.357567, 33.9519347]",82,53,50,2,4,5,0,2,0,0,0,0,0,0,2,1,0,1,0,0,0
Worcester,MA,Massachusetts,"Worcester, Massachusetts","[""Holy Cross University (NCAA - 2)""]",42.2625932,-71.8022934,"[-71.8022934, 42.2625932]",82,53,50,2,0,2,0,2,0,0,0,0,0,0,2,0,1,1,0,0,0
Harrisonburg,VA,Virginia,"Harrisonburg, Virginia","[""James Madison University (NCAA - 2)""]",38.4495688,-78.8689155,"[-78.8689155, 38.4495688]",82,53,50,2,1,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0
Rouston,PA,Pennsylvania,"Rouston, Pennsylvania","[""Louisiana Tech (NCAA - 2)""]",32.5098297,-92.6680377,"[-92.6680377, 32.5098297]",82,53,50,2,5,4,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0
Huntington,WV,West Virginia,"Huntington, West Virginia","[""Marshall University (NCAA - 2)""]",38.4192496,-82.445154,"[-82.445154, 38.4192496]",82,53,50,2,4,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0
Dillon,MT,Montana,"Dillon, Montana","[""University of Montana (NCAA - 2)""]",45.2166324,-112.6389244,"[-112.6389244, 45.2166323999999]",82,53,50,2,5,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0
Corvallis,OR,Oregon,"Corvallis, Oregon","[""Oregon State University (NCAA - 2)""]",44.5645659,-123.2620435,"[-123.2620435, 44.5645659]",82,53,50,2,0,5,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0
Stockton,CA,California,"Stockton, California","[""University of the Pacific (NCAA - 2)""]",37.9577016,-121.2907796,"[-121.2907796, 37.9577016]",82,53,50,2,1,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
Salt Lake City,UT,Utah,"Salt Lake City, Utah","[""Real Salt Lake (MLS - 1)"", "" University of Utah (NCAA - 1)""]",40.7607793,-111.8910474,"[-111.8910474, 40.7607793]",82,42,69,2,4,9,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
San Jose,CA,California,"San Jose, California","[""San Jose Earthquakes (MLS - 2)""]",37.3382082,-121.8863286,"[-121.8863286, 37.3382082]",82,35,110,2,1,5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Sarnia,ON,Ontario,"Sarnia, Ontario","[""Sarnia Imperials (CFL - 2)""]",42.974536,-82.4065901,"[-82.4065901, 42.974536]",82,35,110,2,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Tampa,FL,Florida,"Tampa, Florida","[""Tampa Bay Buccaneers (NFL - 1)"", "" Tampa Bay Lightning (NHL - 1)""]",27.950575,-82.4571776,"[-82.4571776, 27.950575]",82,35,110,2,2,6,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Canton,OH,Ohio,"Canton, Ohio","[""Canton Bulldogs (NFL - 2)""]",40.7989473,-81.378447,"[-81.378447, 40.7989472999999]",82,35,110,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Phoenix,AZ,Arizona,"Phoenix, Arizona","[""Arizona Diamondbacks (MLB - 1)""]",33.4483771,-112.0740373,"[-112.0740373, 33.4483771]",101,42,110,1,3,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Boise,ID,Idaho,"Boise, Idaho","[""Boise State University (NCAA - 1)""]",43.6187102,-116.2146068,"[-116.2146068, 43.6187102]",101,53,69,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Provo,UT,Utah,"Provo, Utah","[""Brigham Young University (NCAA - 1)""]",40.2338438,-111.6585337,"[-111.6585337, 40.2338438]",101,53,69,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Newark,DE,Delaware,"Newark, Delaware","[""University of Delaware (NCAA - 1)""]",39.6837226,-75.7496572,"[-75.7496572, 39.6837226]",101,53,69,1,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Cheney,WA,Washington,"Cheney, Washington","[""Eastern Washington University (NCAA - 1)""]",47.4873895,-117.5757622,"[-117.5757622, 47.4873895]",101,53,69,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Greenville,SC,South Carolina,"Greenville, South Carolina","[""Furman University (NCAA - 1)""]",34.8526176,-82.3940104,"[-82.3940104, 34.8526175999999]",101,53,69,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Fairfax,VA,Virginia,"Fairfax, Virginia","[""George Mason University (NCAA - 1)""]",38.8462236,-77.3063733,"[-77.3063732999999, 38.8462235999999]",101,53,69,1,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Pocatello,ID,Idaho,"Pocatello, Idaho","[""Idaho State University (NCAA - 1)""]",42.8713032,-112.4455344,"[-112.4455344, 42.8713032]",101,53,69,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Iowa City,IA,Iowa,"Iowa City, Iowa","[""University of Iowa (NCAA - 1)""]",41.6611277,-91.5301683,"[-91.5301683, 41.6611277]",101,53,69,1,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Easton,PA,Pennsylvania,"Easton, Pennsylvania","[""Lafayette College (NCAA - 1)""]",40.688432,-75.2207323,"[-75.2207323, 40.688432]",101,53,69,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Monroe,LA,Louisiana,"Monroe, Louisiana","[""University of Louisiana-Monroe (NCAA - 1)""]",32.5093109,-92.1193012,"[-92.1193012, 32.5093109]",101,53,69,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Amherst,MA,Massachusetts,"Amherst, Massachusetts","[""University of Massachusetts (NCAA - 1)""]",42.3732216,-72.5198537,"[-72.5198537, 42.3732216]",101,53,69,1,3,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Oxford,MS,Mississippi,"Oxford, Mississippi","[""University of Mississippi (NCAA - 1)""]",34.3664951,-89.5192484,"[-89.5192484, 34.3664951]",101,53,69,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Bozeman,MT,Montana,"Bozeman, Montana","[""Montana State University (NCAA - 1)""]",45.6769979,-111.0429339,"[-111.0429339, 45.6769979]",101,53,69,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Eugene,OR,Oregon,"Eugene, Oregon","[""University of Oregon (NCAA - 1)""]",44.0520691,-123.0867536,"[-123.0867536, 44.0520691]",101,53,69,1,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
West Lafayette,IN,Indiana,"West Lafayette, Indiana","[""Purdue University (NCAA - 1)""]",40.4258686,-86.9080655,"[-86.9080654999999, 40.4258686]",101,53,69,1,2,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Richmond,VA,Virginia,"Richmond, Virginia","[""University of Richmond (NCAA - 1)""]",37.5407246,-77.4360481,"[-77.4360481, 37.5407246]",101,53,69,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
New Brunswick,NJ,New Jersey,"New Brunswick, New Jersey","[""Rutgers University (NCAA - 1)""]",40.4862157,-74.4518188,"[-74.4518188, 40.4862157]",101,53,69,1,1,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Santa Clara,CA,California,"Santa Clara, California","[""Santa Clara University (NCAA - 1)""]",37.3541079,-121.9552356,"[-121.9552356, 37.3541079]",101,53,69,1,2,10,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Carbondale,IL,Illinois,"Carbondale, Illinois","[""University of Southern Illinois (NCAA - 1)""]",37.7272727,-89.2167501,"[-89.2167501, 37.7272727]",101,53,69,1,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Fort Worth,TX,Texas,"Fort Worth, Texas","[""Texas Christian University (NCAA - 1)""]",32.7554883,-97.3307658,"[-97.3307658, 32.7554883]",101,53,69,1,0,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
El Paso,TX,Texas,"El Paso, Texas","[""Texas Western University (NCAA - 1)""]",31.7618778,-106.4850217,"[-106.4850217, 31.7618778]",101,53,69,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Las Vegas,NV,Nevada,"Las Vegas, Nevada","[""University of Nevada-Las Vegas (NCAA - 1)""]",36.1699412,-115.1398296,"[-115.1398296, 36.1699412]",101,53,69,1,1,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Charlottesville,VA,Virginia,"Charlottesville, Virginia","[""University of Virginia (NCAA - 1)""]",38.0293059,-78.4766781,"[-78.4766781, 38.0293059]",101,53,69,1,3,7,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Winston-Salem,NC,North Carolina,"Winston-Salem, North Carolina","[""Wake Forest University (NCAA - 1)""]",36.0998596,-80.244216,"[-80.244216, 36.0998595999999]",101,53,69,1,1,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Bowling Green,KY,Kentucky,"Bowling Green, Kentucky","[""Western Kentucky University (NCAA - 1)""]",36.9685219,-86.4808043,"[-86.4808043, 36.9685219]",101,53,69,1,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Wichita,KS,Kansas,"Wichita, Kansas","[""Wichita State University (NCAA - 1)""]",37.6871761,-97.330053,"[-97.3300529999999, 37.6871760999999]",101,53,69,1,3,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Madison,WI,Wisconsin,"Madison, Wisconsin","[""University of Wisconsin (NCAA - 1)""]",43.0730517,-89.4012302,"[-89.4012302, 43.0730517]",101,53,69,1,4,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Laramie,WI,Wisconsin,"Laramie, Wisconsin","[""University of Wyoming (NCAA - 1)""]",41.3113669,-105.5911007,"[-105.5911007, 41.3113669]",101,53,69,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Conway,SC,South Carolina,"Conway, South Carolina","[""Coastal Carolina University (NCAA - 1)""]",33.8360034,-79.0478143,"[-79.0478143, 33.8360034]",101,53,69,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Fresno,CA,California,"Fresno, California","[""Fresno State (NCAA - 1)""]",36.7377981,-119.7871247,"[-119.7871247, 36.7377981]",101,53,69,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Columbia,MO,Missouri,"Columbia, Missouri","[""University of Missouri (NCAA - 1)""]",38.9517053,-92.3340724,"[-92.3340724, 38.9517053]",101,53,69,1,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Norfolk,VA,Virginia,"Norfolk, Virginia","[""Old Dominion University (NCAA - 1)""]",36.8507689,-76.2858726,"[-76.2858725999999, 36.8507689]",101,53,69,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Malibu,CA,California,"Malibu, California","[""Pepperdine University (NCAA - 1)""]",34.0259216,-118.7797571,"[-118.7797571, 34.0259216]",101,53,69,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Lubbock,TX,Texas,"Lubbock, Texas","[""Texas Tech (NCAA - 1)""]",33.5778631,-101.8551665,"[-101.8551665, 33.5778631]",101,53,69,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Nashville,TN,Tennessee,"Nashville, Tennessee","[""Vanderbilt University (NCAA - 1)""]",36.1626638,-86.7816016,"[-86.7816016, 36.1626638]",101,53,69,1,3,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Indianapolis,IN,Indiana,"Indianapolis, Indiana","[""Indianapolis Colts (NFL - 1)""]",39.768403,-86.158068,"[-86.158068, 39.768403]",101,42,110,1,4,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Providence,RI,Rhode Island,"Providence, Rhode Island","[""Providence Steam Roller (NFL - 1)""]",41.8239891,-71.4128343,"[-71.4128343, 41.8239891]",101,42,110,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Denver,ON,Ontario,"Denver, Ontario","[""Colorado Rapids (MLS - 1)""]",39.593928,-104.730829,"[-104.730829, 39.593928]",101,42,110,1,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rochester,NY,New York,"Rochester, New York","[""Rochester Royals (NBA - 1)""]",43.1565779,-77.6088465,"[-77.6088465, 43.1565778999999]",101,42,110,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
New Orleans,LA,Louisiana,"New Orleans, Louisiana","[""New Orleans Saints (NFL - 1)""]",29.9510658,-90.0715323,"[-90.0715323, 29.9510657999999]",101,42,110,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jonesboro,AR,Arkansas,"Jonesboro, Arkansas",,35.8422967,-90.704279,"[-90.704279, 35.8422967]",142,53,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peoria,IL,Illinois,"Peoria, Illinois",,40.6936488,-89.5889864,"[-89.5889864, 40.6936488]",142,53,110,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison County,NY,New York,"Madison County, New York",,42.9805975,-75.8069082,"[-75.8069082, 42.9805974999999]",142,53,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanover,NH,New Hampshire,"Hanover, New Hampshire",,43.7022451,-72.2895526,"[-72.2895526, 43.7022451]",142,53,110,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dayton,OH,Ohio,"Dayton, Ohio",,39.7589478,-84.1916069,"[-84.1916069, 39.7589478]",142,53,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Des Moines,IA,Iowa,"Des Moines, Iowa",,41.6005448,-93.6091064,"[-93.6091064, 41.6005448]",142,53,110,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spokane,WA,Washington,"Spokane, Washington",,47.6587802,-117.4260465,"[-117.4260465, 47.6587802]",142,53,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,IL,Illinois,"Normal, Illinois",,40.5142026,-88.9906312,"[-88.9906312, 40.5142026]",142,53,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terre Haute,IN,Indiana,"Terre Haute, Indiana",,39.4667034,-87.4139092,"[-87.4139091999999, 39.4667034]",142,53,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ames,IA,Iowa,"Ames, Iowa",,42.0307812,-93.6319131,"[-93.6319130999999, 42.0307812]",142,53,110,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacksonville,FL,Florida,"Jacksonville, Florida",,30.3321838,-81.655651,"[-81.6556509999999, 30.3321838]",142,53,110,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,KS,Kansas,"New York, Kansas",,39.104235,-94.5838046,"[-94.5838046, 39.104235]",142,53,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bethlehem,NJ,New Jersey,"Bethlehem, New Jersey",,40.6672137,-75.0026972,"[-75.0026972, 40.6672137]",142,53,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake Charles,LA,Louisiana,"Lake Charles, Louisiana",,30.2265949,-93.2173758,"[-93.2173758, 30.2265949]",142,53,110,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Memphis,TN,Tennessee,"Memphis, Tennessee",,35.1495343,-90.0489801,"[-90.0489801, 35.1495343]",142,53,110,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starkville,MS,Mississippi,"Starkville, Mississippi",,33.4503998,-88.8183872,"[-88.8183871999999, 33.4503998]",142,53,110,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reno,NV,Nevada,"Reno, Nevada",,39.5296329,-119.8138027,"[-119.8138027, 39.5296329]",142,53,110,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Las Cruces,NM,New Mexico,"Las Cruces, New Mexico",,32.3199396,-106.7636538,"[-106.7636538, 32.3199396]",142,53,110,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huntsville,TX,Texas,"Huntsville, Texas",,30.7235263,-95.5507771,"[-95.5507770999999, 30.7235263]",142,53,110,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Orange,NJ,New Jersey,"South Orange, New Jersey",,40.7489277,-74.2609903,"[-74.2609903, 40.7489277]",142,53,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegany,NY,New York,"Allegany, New York",,42.0900647,-78.4941887,"[-78.4941887, 42.0900647]",142,53,110,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens,NY,New York,"Queens, New York",,40.7282239,-73.7948516,"[-73.7948516, 40.7282239]",142,53,110,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nacogdoches,TX,Texas,"Nacogdoches, Texas",,31.6035129,-94.6554874,"[-94.6554874, 31.6035129]",142,53,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
